area,block,community,region,rent,time,title,toward,type
140.69㎡,赤岗冲,鑫天佳园,雨花,2500元/月,今天维护,鑫天佳园,南 北,3室2厅2卫
40.52㎡,松桂园,铂宫大厦,开福,2500元/月,12天前维护,铂宫大厦,西,1室1厅1卫
150.00㎡,滨江新城,龙湖春江郦城,岳麓,6000元/月,8天前维护,龙湖春江郦城,南,4室2厅2卫
18.00㎡,金星中路,中央美郡,岳麓,708元/月,8天前维护,中央美郡,东南,5室0厅3卫
43.00㎡,武广新城,明大佳园,雨花,2000元/月,12天前维护,明大佳园,南,1室1厅1卫
52.00㎡,韶山南路,上海城,雨花,1700元/月,5天前维护,上海城,南,1室1厅1卫
143.00㎡,汽车南站,颐和佳园,雨花,2600元/月,4天前维护,颐和佳园,南 北,3室2厅2卫
119.59㎡,汽车西站,达美D6区,岳麓,4200元/月,6天前维护,达美D6区,南,4室2厅2卫
80.00㎡,望城区,真人桥家园,望城,2000元/月,1天前维护,真人桥家园,南,2室1厅1卫
98.00㎡,四方坪,听香水榭,开福,2800元/月,1天前维护,听香水榭,南 北,3室2厅2卫
76.60㎡,商学院,高鑫麓城,岳麓,2400元/月,14天前维护,高鑫麓城,南,2室1厅1卫
128.00㎡,洋湖垸,万科白鹭郡,岳麓,4200元/月,3天前维护,万科白鹭郡,南,2室2厅1卫
109.00㎡,银盆岭,保利天禧,岳麓,4288元/月,3天前维护,保利天禧,南 北,3室2厅2卫
89.00㎡,窑岭,光大银行宿舍楼,雨花,2500元/月,2天前维护,光大银行宿舍楼,南,2室2厅1卫
100.00㎡,雨花亭,公路管理局城郊分局宿舍,雨花,2000元/月,8天前维护,公路管理局城郊分局宿舍,南 北,3室2厅1卫
18.00㎡,梅溪湖北岸,金茂悦,岳麓,808元/月,27天前维护,金茂悦,南,5室0厅3卫
114.31㎡,中南汽车世界,中南汽车世界,长沙县,1680元/月,6天前维护,中南汽车世界,南 北,3室2厅1卫
35.00㎡,梅溪湖北岸,达美美立方,岳麓,1449元/月,16天前维护,达美美立方,南,1室1厅1卫
50.00㎡,汽车南站,高升时代广场,雨花,1800元/月,6天前维护,高升时代广场,南,1室1厅1卫
30.00㎡,梅溪湖北岸,中建梅溪湖中心,岳麓,1658元/月,16天前维护,中建梅溪湖中心,南,1室0厅1卫
87.00㎡,万家丽北,盛地尊域,长沙县,1900元/月,7天前维护,盛地尊域,南 北,3室2厅1卫
20.00㎡,河西人人乐,盛世耀凯,岳麓,1008元/月,6天前维护,盛世耀凯,南,5室0厅3卫
87.00㎡,尚东,泊爱蓝湾,雨花,2600元/月,8天前维护,泊爱蓝湾,南,3室1厅1卫
85.00㎡,松雅湖,知微园,长沙县,3900元/月,1天前维护,知微园,南,2室1厅2卫
38.00㎡,泉塘,尚都美寓,长沙县,1000元/月,11天前维护,尚都美寓,南,1室1厅1卫
176.00㎡,北辰三角洲,北辰三角洲C2区,开福,7500元/月,1天前维护,北辰三角洲C2区,南,5室1厅1卫
135.60㎡,湘江世纪城,世纪城鸿江苑,开福,2600元/月,1天前维护,世纪城鸿江苑,南 北,3室2厅2卫
126.00㎡,岳麓其他,蓝光雍锦半岛,岳麓,900元/月,9天前维护,蓝光雍锦半岛,南,3室2厅2卫
15.00㎡,梅溪湖北岸,金茂悦,岳麓,808元/月,1个月前维护,金茂悦,东南,5室1厅2卫
91.00㎡,洋湖垸,万科白鹭郡,岳麓,3300元/月,13天前维护,万科白鹭郡,南,3室2厅1卫
18.00㎡,雨花亭,鑫宇翠庭,雨花,708元/月,1个月前维护,鑫宇翠庭,东南,5室1厅2卫
90.00㎡,金星中路,高信向日葵,岳麓,2600元/月,11天前维护,高信向日葵,南,3室2厅2卫
89.58㎡,暮云,中国水电八局南托基地小区,天心,1200元/月,2天前维护,中国水电八局南托基地小区,东南,3室2厅1卫
76.00㎡,河西步步高,郡原广场,岳麓,3200元/月,12天前维护,郡原广场,东 西,2室2厅2卫
12.00㎡,雨花亭,中江国际花城,雨花,750元/月,10天前维护,中江国际花城,西北,4室2厅2卫
81.00㎡,新开铺,和庄,天心,2300元/月,11天前维护,和庄,北,3室1厅1卫
22.00㎡,马王堆,浏阳河畔北苑,芙蓉,899元/月,27天前维护,浏阳河畔北苑,南,5室1厅2卫
120.00㎡,万家丽南路,泰禹家园2期,雨花,2200元/月,1天前维护,泰禹家园2期,南,3室2厅2卫
40.00㎡,黄土岭,乾城,天心,1800元/月,3天前维护,乾城,东南,1室1厅1卫
73.70㎡,新开铺,和庄,天心,2000元/月,3天前维护,和庄,西,2室1厅1卫
18.00㎡,韶山南路,上海城,雨花,650元/月,18天前维护,上海城,南,5室0厅2卫
25.00㎡,德政园,东方新城,芙蓉,850元/月,14天前维护,东方新城,南,5室1厅3卫
107.00㎡,汽车南站,汇金城二期,雨花,2500元/月,10天前维护,汇金城二期,南,3室2厅2卫
159.27㎡,望城区,联诚国际城,望城,1000元/月,9天前维护,联诚国际城,南,4室2厅2卫
25.00㎡,麓谷西,保利麓谷林语G区,岳麓,1308元/月,8天前维护,保利麓谷林语G区,南,5室0厅3卫
56.78㎡,烈士公园,湖绸宿舍,开福,1650元/月,8天前维护,湖绸宿舍,东,2室1厅1卫
25.00㎡,桐梓坡,西湖丽景,岳麓,1158元/月,2天前维护,西湖丽景,南,5室1厅3卫
